steps,guidance,clip_score,aesthetic_score,aes_v2_score,hps_v2_score,elapsed_ms,seed
4,9.93,0.21475310623645782,4.643312931060791,4.464690208435059,0.148193359375,217,1787770870
4,10.5,0.23511064052581787,4.460107326507568,4.5518035888671875,0.15771484375,212,1967991147
4,11.24,0.13120898604393005,4.291114330291748,4.511236190795898,0.1427001953125,232,384231604
4,11.41,0.1761457324028015,4.566662788391113,4.589964866638184,0.139404296875,227,1898599115
5,1.18,0.2833666205406189,5.116519927978516,5.267140865325928,0.1314697265625,286,853982340
5,2.4,0.2709513306617737,5.0383477210998535,5.363214492797852,0.1583251953125,288,1296050195
5,2.45,0.3156936764717102,4.823935031890869,4.752829074859619,0.11712646484375,276,905757536
5,2.71,0.2732296884059906,3.666593074798584,3.8127341270446777,0.11517333984375,289,1727522690
5,2.75,0.22887709736824036,5.178425312042236,5.398403644561768,0.1466064453125,271,88061417
5,3.35,0.3167407810688019,4.421455383300781,4.462850570678711,0.135498046875,241,1656280377
5,3.68,0.23282071948051453,5.06449031829834,5.334543228149414,0.166748046875,241,138608052
5,3.92,0.373540997505188,4.8198161125183105,4.533958911895752,0.11956787109375,239,7898372
5,4.18,0.2556183636188507,4.848363399505615,5.161151885986328,0.1341552734375,276,625995940
5,4.35,0.2140287458896637,4.428924083709717,4.649697780609131,0.143798828125,239,525720006
5,4.48,0.31400540471076965,4.327171325683594,4.492873668670654,0.1285400390625,238,666650453
5,4.71,0.3706313669681549,4.2768025398254395,3.9160404205322266,0.114990234375,267,887660713
5,4.8,0.30244573950767517,5.283343315124512,5.422812461853027,0.1732177734375,256,1142685535
5,5.03,0.23422038555145264,4.669903755187988,4.6451215744018555,0.1380615234375,251,1902548455
5,5.03,0.27227941155433655,5.702055931091309,5.701167106628418,0.1402587890625,240,1340078532
5,5.67,0.2453307807445526,5.283052921295166,5.468319892883301,0.147216796875,239,1477878701
5,5.73,0.3614766597747803,5.029148578643799,4.70037841796875,0.129150390625,283,1710558122
5,5.76,0.2938651144504547,5.387481689453125,5.46652889251709,0.161865234375,272,1135541207
5,5.98,0.2835792303085327,5.477931499481201,5.471899032592773,0.1573486328125,284,539357733
5,6.02,0.27908724546432495,5.357887268066406,5.6637067794799805,0.13818359375,291,1154913235
5,6.89,0.2526231110095978,4.968204975128174,5.233852386474609,0.1522216796875,281,1571501196
5,7.19,0.2150007039308548,3.0182318687438965,3.158226490020752,0.1273193359375,248,1894133281
5,7.48,0.21182169020175934,4.470339298248291,4.525803089141846,0.1630859375,290,1919214798
5,7.85,0.26768064498901367,6.179965496063232,6.359902381896973,0.1395263671875,256,563605604
5,8.32,0.14722514152526855,4.101882457733154,4.623885631561279,0.1546630859375,241,2059055953
5,8.8,0.26389846205711365,5.50445556640625,6.072395324707031,0.150146484375,239,1637099524
5,9.34,0.2612994313240051,5.97675895690918,6.235095977783203,0.1300048828125,253,759052357
